                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.4724,                 1.7381,                  1.473,                 0.3967,                0.40265,                0.32033,                0.14969,                 2.0106,                 2.4139,                 1.9386,             0.00039155,             0.00039155,             0.00039155
                    117,                 1.4663,                 1.7156,                 1.4679,                0.40321,                0.40019,                0.33101,                0.15245,                 2.0188,                  2.408,                 1.9527,             0.00038705,             0.00038705,             0.00038705
                    118,                  1.472,                 1.7429,                 1.4681,                0.39731,                0.38853,                0.30513,                0.14039,                 2.0027,                 2.4062,                 1.9347,             0.00038255,             0.00038255,             0.00038255
                    119,                 1.4671,                 1.7468,                 1.4719,                0.43158,                0.38996,                0.33014,                0.15013,                 1.9972,                 2.4091,                 1.9308,             0.00037805,             0.00037805,             0.00037805
                    120,                 1.4785,                 1.7221,                  1.468,                0.40217,                0.37888,                0.31995,                0.14577,                 2.0085,                 2.4236,                 1.9291,             0.00037355,             0.00037355,             0.00037355
                    121,                 1.4542,                 1.6924,                 1.4504,                0.39828,                0.39059,                0.31452,                0.14608,                 2.0147,                 2.4516,                 1.9496,             0.00036905,             0.00036905,             0.00036905
                    122,                 1.4777,                  1.738,                 1.4748,                0.36708,                0.41752,                0.32085,                0.14345,                 2.0089,                 2.4295,                 1.9359,             0.00036455,             0.00036455,             0.00036455
                    123,                  1.459,                 1.7122,                 1.4568,                0.37137,                0.41439,                0.32149,                0.14746,                 2.0121,                 2.4426,                 1.9365,             0.00036005,             0.00036005,             0.00036005
                    124,                 1.4422,                 1.6756,                 1.4514,                0.40163,                0.40492,                0.32424,                0.14952,                  2.015,                  2.416,                 1.9426,             0.00035556,             0.00035556,             0.00035556
                    125,                 1.4542,                 1.6917,                 1.4656,                0.40471,                0.40121,                0.32045,                0.14029,                 2.0339,                 2.4354,                 1.9538,             0.00035106,             0.00035106,             0.00035106
                    126,                 1.4504,                 1.6901,                 1.4526,                0.36614,                0.41211,                0.30331,                0.13513,                 2.0193,                 2.4202,                 1.9492,             0.00034656,             0.00034656,             0.00034656
                    127,                 1.4397,                 1.6656,                 1.4408,                0.39645,                0.37606,                0.29228,                0.13092,                 2.0217,                 2.3932,                 1.9478,             0.00034206,             0.00034206,             0.00034206
                    128,                 1.4463,                 1.6996,                 1.4416,                0.40762,                0.42293,                0.32439,                0.13982,                 2.0238,                 2.4173,                 1.9466,             0.00033756,             0.00033756,             0.00033756
                    129,                  1.447,                 1.6862,                 1.4492,                0.38889,                0.40113,                0.32153,                0.14151,                 2.0392,                 2.4256,                  1.966,             0.00033306,             0.00033306,             0.00033306
                    130,                 1.4413,                 1.6618,                 1.4441,                0.37103,                0.40774,                0.31734,                0.14058,                 2.0261,                 2.4264,                 1.9514,             0.00032856,             0.00032856,             0.00032856
                    131,                 1.4418,                 1.6451,                 1.4422,                0.41649,                0.41269,                0.32963,                0.14411,                 2.0428,                  2.433,                 1.9725,             0.00032406,             0.00032406,             0.00032406
                    132,                 1.4362,                 1.6522,                 1.4429,                  0.379,                0.41542,                 0.3309,                0.15167,                 2.0307,                 2.4436,                 1.9601,             0.00031956,             0.00031956,             0.00031956
                    133,                 1.4325,                 1.6457,                 1.4361,                0.39604,                0.40285,                0.34009,                0.15334,                 2.0244,                 2.3868,                 1.9478,             0.00031506,             0.00031506,             0.00031506
                    134,                 1.4242,                 1.6262,                 1.4333,                0.38294,                  0.421,                0.33837,                 0.1551,                 2.0256,                  2.424,                  1.951,             0.00031056,             0.00031056,             0.00031056
                    135,                 1.4276,                 1.6353,                 1.4343,                0.39604,                0.41557,                0.33915,                0.15183,                 2.0379,                 2.4274,                  1.967,             0.00030606,             0.00030606,             0.00030606
                    136,                  1.428,                 1.6262,                 1.4268,                0.32712,                0.42965,                0.32433,                0.14462,                 2.0385,                 2.4318,                 1.9694,             0.00030156,             0.00030156,             0.00030156
                    137,                 1.4175,                  1.614,                 1.4296,                0.38228,                0.42579,                 0.3477,                0.15374,                  2.029,                 2.4068,                 1.9669,             0.00029706,             0.00029706,             0.00029706
                    138,                 1.4182,                 1.6015,                 1.4296,                0.37634,                0.41951,                0.32613,                0.14666,                 2.0369,                 2.3967,                 1.9678,             0.00029256,             0.00029256,             0.00029256
                    139,                 1.4125,                 1.6045,                 1.4236,                0.38641,                0.39705,                0.32779,                0.14596,                 2.0458,                 2.4221,                 1.9728,             0.00028806,             0.00028806,             0.00028806
                    140,                 1.4008,                 1.6038,                 1.4147,                0.40249,                 0.4036,                0.33287,                0.14483,                 2.0564,                 2.4109,                 1.9757,             0.00028356,             0.00028356,             0.00028356
                    141,                 1.4127,                  1.626,                 1.4372,                0.40176,                0.39044,                0.31255,                0.14158,                 2.0539,                 2.4313,                 1.9744,             0.00027906,             0.00027906,             0.00027906
